"","Feature","Deep Aposymbiotic","Deep Aposymbiotic.pval","Shallow Aposymbiotic","Shallow Aposymbiotic.pval","Shallow Symbiotic","Shallow Symbiotic.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"69","x1905_373_25265_1_969",1.00100150250438,0.0099009900990099,1.00100150250438,0.0297029702970297,1.41497655310772,0.0099009900990099,1.41379204631166,0.0099009900990099,0.111203154162001,0.0099009900990099
"70","x15778_806_54148_7_558",1.00100150250438,0.0099009900990099,1.26693979201741,0.0099009900990099,1.40691651970838,0.0099009900990099,1.41362501471258,0.0099009900990099,0.117153148829521,0.0099009900990099
"71","x11562_993_55492_5_837",1.36363803075806,0.0099009900990099,1.32460420270263,0.0099009900990099,1.37997895932678,0.0099009900990099,1.41310529639792,0.0099009900990099,0.0942433916385599,0.0099009900990099
"72","x10507_977_59362_5_443",1.26693979201741,0.0099009900990099,1.41705050316284,0.0099009900990099,1.41620539683401,0.0099009900990099,1.41285987182396,0.0099009900990099,0.115116279069767,0.0099009900990099
"73","x12144_818_56809_6_078",1.38062136715865,0.0099009900990099,1.28017115862345,0.0099009900990099,1.41643553111556,0.0099009900990099,1.41193972556628,0.0099009900990099,0.110768713450292,0.0099009900990099
"74","x12463_770_55638_6_203",1.37021526937856,0.0099009900990099,1.39964164456356,0.0099009900990099,1.41570766814705,0.0099009900990099,1.41160824954502,0.0099009900990099,0.116373099415205,0.0099009900990099
"75","x26791_1066_73474_12_423",1.41285987182396,0.0198019801980198,1.37457856297529,0.0099009900990099,1.41411597379638,0.0099009900990099,1.41120774204966,0.0099009900990099,0.115519978517723,0.0099009900990099
"76","x1928_433_27317_1_986",1.00100150250438,0.0198019801980198,1.34406227991274,0.0099009900990099,1.39964164456356,0.0099009900990099,1.40995560949711,0.0099009900990099,0.116426050591595,0.0099009900990099
"77","x16609_938_57898_7_991",1.41705050316284,0.0099009900990099,1.3976941536882,0.0099009900990099,1.41120774204966,0.0099009900990099,1.40967765131453,0.0099009900990099,0.111283844393593,0.0099009900990099
"78","x13389_839_54939_6_635",1.41705050316284,0.0099009900990099,1.34406227991274,0.0099009900990099,1.41693653346005,0.0099009900990099,1.40938240486516,0.0099009900990099,0.113376811594203,0.0099009900990099
"79","x13261_817_56201_6_565",1.38458279965625,0.0099009900990099,1.37457856297529,0.0099009900990099,1.38458279965625,0.0099009900990099,1.40834895880057,0.0099009900990099,0.113504188129899,0.0099009900990099
"80","x13421_1006_64466_6_624",1.00100150250438,0.0099009900990099,1.24710926351988,0.0099009900990099,1.41055441393309,0.0099009900990099,1.40834895880057,0.0099009900990099,0.117603427172583,0.0099009900990099
"81","x2619_535_32216_2_576",1.39540341548455,0.0099009900990099,1.36436948635955,0.0099009900990099,1.40906764658504,0.0099009900990099,1.40674554273354,0.0099009900990099,0.114184314541294,0.0099009900990099
"82","x9495_948_56945_5_082",1.00100150250438,0.0495049504950495,1.41675431502912,0.0099009900990099,1.40444345849039,0.0099009900990099,1.40644224309428,0.0099009900990099,0.107334546472564,0.0099009900990099
"83","x5168_823_45936_3_704",1.00100150250438,0.0099009900990099,1.41570766814705,0.0099009900990099,1.41570766814705,0.0099009900990099,1.40465243230319,0.0099009900990099,0.113399122807018,0.0099009900990099
"84","x25645_883_68514_12_111",1.31533410441164,0.0099009900990099,1.28959193642382,0.0099009900990099,1.40949853917577,0.0099009900990099,1.40464182101791,0.0099009900990099,0.103509589734603,0.0099009900990099
"85","x15690_771_50244_7_537",1.00100150250438,0.0495049504950495,1.41447599059536,0.0099009900990099,1.40714185952848,0.0099009900990099,1.40444345849039,0.0099009900990099,0.1122525499796,0.0099009900990099
"86","x15844_772_50616_7_541",1.00100150250438,0.0297029702970297,1.37180503494348,0.0099009900990099,1.4166659270908,0.0099009900990099,1.40401474474571,0.0099009900990099,0.109553018759523,0.0099009900990099
"87","x4540_1195_42988_3_491",1.00100150250438,0.0297029702970297,1.41508404800271,0.0099009900990099,1.41459540782567,0.0099009900990099,1.40252905780391,0.0198019801980198,0.104024767801858,0.0099009900990099
"88","x17720_1006_64578_8_365",1.00100150250438,0.0099009900990099,1.38942503594182,0.0099009900990099,1.34556354287589,0.0099009900990099,1.40237920636428,0.0099009900990099,0.1091004784689,0.0099009900990099
"89","x2267_648_38998_2_254",0.290045344077152,0.0495049504950495,1.46178870494285,0.0198019801980198,1.40606442787545,0.0099009900990099,1.40179414994786,0.0297029702970297,0.118024741098028,0.0099009900990099
"90","x16380_813_49239_7_85",1.34406227991274,0.0099009900990099,1.28364639898503,0.0099009900990099,1.41188742058131,0.0099009900990099,1.40166697376181,0.0099009900990099,0.106399122807018,0.0099009900990099
"91","x12401_1025_54268_6_194",1.40834895880057,0.0099009900990099,1.36846357472562,0.0099009900990099,1.4151969792487,0.0099009900990099,1.40093050291294,0.0099009900990099,0.114184314541294,0.0099009900990099
"92","x16100_832_55845_7_716",1.00100150250438,0.0198019801980198,1.2381387735405,0.0099009900990099,1.41120774204966,0.0099009900990099,1.39820207953366,0.0099009900990099,0.112137134502924,0.0099009900990099
