Feature,B,B.pval,NB,NB.pval,MeanDecreaseAccuracy,MeanDecreaseAccuracy.pval,MeanDecreaseGini,MeanDecreaseGini.pval
x12080_609_45147_6_064,1.400782000307517,0.009900990099009901,1.391391169504041,0.009900990099009901,1.3972137727329463,0.009900990099009901,0.14984210526315792,0.009900990099009901
x1909_313_19502_1_99,1.411969013629036,0.009900990099009901,1.3606467307602905,0.009900990099009901,1.3956699910769574,0.009900990099009901,0.13678947368421052,0.009900990099009901
x17396_1082_67634_8_279,1.403873989063722,0.009900990099009901,1.3806213671586458,0.009900990099009901,1.3949215476415022,0.009900990099009901,0.13926315789473684,0.009900990099009901
x3355_1283_70024_3_035,1.3669290443176871,0.009900990099009901,1.4162501246926804,0.009900990099009901,1.3948058477486798,0.009900990099009901,0.14589473684210527,0.009900990099009901
x23471_1062_7009_11_354,1.4145954078256666,0.009900990099009901,1.0010015025043828,0.0297029702970297,1.394103773066432,0.009900990099009901,0.0718100686498856,0.009900990099009901
x2610_631_3622_2_568,1.3899960709741068,0.009900990099009901,1.3976941536882015,0.009900990099009901,1.393325618133928,0.009900990099009901,0.1448421052631579,0.009900990099009901
x3359_721_33226_3_035,1.3610932403503242,0.009900990099009901,1.4151969792487031,0.009900990099009901,1.3906457032769717,0.009900990099009901,0.14226315789473684,0.009900990099009901
x9514_924_56874_5_085,1.2995107330949645,0.009900990099009901,1.3554244878622757,0.009900990099009901,1.3865363074845396,0.009900990099009901,0.13678947368421052,0.009900990099009901
x3351_653_34467_3_034,1.3513093053500187,0.019801980198019802,1.4163108425908684,0.009900990099009901,1.385887409675272,0.019801980198019802,0.1388421052631579,0.009900990099009901
x15778_806_54148_7_558,1.3894250359418208,0.009900990099009901,1.3776121981542484,0.009900990099009901,1.3840535045441695,0.009900990099009901,0.1448421052631579,0.009900990099009901
x1683_391_26322_1_789,1.3455635428758939,0.009900990099009901,1.4160756927722498,0.009900990099009901,1.3839683144336796,0.009900990099009901,0.14557894736842103,0.009900990099009901
x3336_704_45048_3_037,1.4162655126872077,0.009900990099009901,1.1869771176287351,0.009900990099009901,1.380621367158646,0.009900990099009901,0.08709716599190283,0.009900990099009901
x12209_818_48972_6_127,1.3971987112134177,0.009900990099009901,1.3384791095519382,0.009900990099009901,1.3783670565863797,0.009900990099009901,0.14184210526315788,0.009900990099009901
x14093_959_57063_6_904,1.400782000307517,0.009900990099009901,1.3322511387265046,0.009900990099009901,1.3760980112502321,0.009900990099009901,0.13721052631578948,0.009900990099009901
x15429_904_59936_7_471,1.315334104411641,0.009900990099009901,1.4154401667419994,0.009900990099009901,1.3734360074518326,0.009900990099009901,0.13328325358851675,0.009900990099009901
x14772_1077_57394_7_202,1.3059663473173215,0.009900990099009901,1.4162053968340107,0.009900990099009901,1.372291266612397,0.009900990099009901,0.14421052631578948,0.009900990099009901
x12901_788_53212_6_402,1.323496531976031,0.009900990099009901,1.4138993974103446,0.009900990099009901,1.3676717251899921,0.009900990099009901,0.14542105263157895,0.009900990099009901
x9896_879_5079_5_217,1.384582799656251,0.009900990099009901,1.330469166813679,0.019801980198019802,1.3617271411107528,0.009900990099009901,0.1475263157894737,0.009900990099009901
x770_528_31771_1_231,1.266939792017407,0.009900990099009901,1.41607569277225,0.009900990099009901,1.3564074048291723,0.009900990099009901,0.12473107769423557,0.009900990099009901
x3333_648_38887_3_03,1.3341928182461753,0.019801980198019802,1.3592520734315618,0.009900990099009901,1.3440622799127364,0.019801980198019802,0.1458421052631579,0.009900990099009901
x10273_784_49988_5_375,1.2950402276277715,0.019801980198019802,1.4006982937227705,0.009900990099009901,1.3351679217845749,0.009900990099009901,0.14542105263157895,0.009900990099009901
x13722_1068_66292_6_727,1.3255990304194472,0.009900990099009901,1.3440622799127364,0.009900990099009901,1.3314225420675083,0.009900990099009901,0.14989473684210525,0.009900990099009901
x10561_1000_59534_5_456,1.290348760363951,0.009900990099009901,1.3554244878622757,0.009900990099009901,1.3209436826110574,0.009900990099009901,0.13742105263157897,0.009900990099009901
x25707_882_68287_12_118,1.2895919364238242,0.009900990099009901,1.3490845048570221,0.009900990099009901,1.315334104411641,0.009900990099009901,0.1388421052631579,0.009900990099009901
x16911_847_53265_8_088,1.3733597558856814,0.009900990099009901,1.158650122241299,0.009900990099009901,1.3080941534270119,0.009900990099009901,0.1340686344238976,0.009900990099009901
x16422_824_6044_7_869,1.3013134819067478,0.009900990099009901,1.3050607193624852,0.009900990099009901,1.3029291510790666,0.009900990099009901,0.14810526315789474,0.009900990099009901
x12099_816_56057_6_068,1.1177063142511405,0.009900990099009901,1.41607569277225,0.009900990099009901,1.3009688865027482,0.009900990099009901,0.0765103668261563,0.009900990099009901
x14250_795_50188_6_967,1.001001502504383,0.0297029702970297,1.001001502504383,0.009900990099009901,1.001001502504383,0.019801980198019802,0.07342105263157894,0.009900990099009901
x12355_952_60054_6_16,1.001001502504383,0.019801980198019802,1.001001502504383,0.019801980198019802,1.001001502504383,0.019801980198019802,0.06963157894736842,0.009900990099009901
x24015_556_53023_11_599,1.0010015025043828,0.039603960396039604,1.001001502504383,0.009900990099009901,1.001001502504383,0.009900990099009901,0.06496491228070174,0.009900990099009901
x14265_818_57678_6_973,1.001001502504383,0.0297029702970297,1.001001502504383,0.019801980198019802,1.001001502504383,0.019801980198019802,0.07073684210526317,0.009900990099009901
x15426_844_59246_7_471,1.0010015025043828,0.039603960396039604,1.001001502504383,0.009900990099009901,1.001001502504383,0.019801980198019802,0.06252631578947368,0.009900990099009901
