"","metabolite.X","metabolite.Feature","metabolite.X.IncMSE","metabolite.X.IncMSE.pval","metabolite.IncNodePurity","metabolite.IncNodePurity.pval","log2FC"
"x24324_802_63195_11_716",418,"x24324_802_63195_11_716",1.03403239323396,0.0198019801980198,9.90247677993139e-06,0.386138613861386,0.457486749200516
"x23721_842_60153_11_495",420,"x23721_842_60153_11_495",1.03169202954833,0.0495049504950495,0.0399015863643951,0.0693069306930693,0.48516964875889
"x39484_907_75545_15_997",421,"x39484_907_75545_15_997",1.03090501107713,0.0396039603960396,2.40256070722875e-05,0.702970297029703,0.712638373264532
"x1945_546_35662_2",425,"x1945_546_35662_2",1.0285414621349,0.0297029702970297,0.00073323977201427,0.287128712871287,0.219985109509019
"x19098_744_61575_8_956",439,"x19098_744_61575_8_956",1.02088345163238,0.0198019801980198,0.00044661314163961,0.326732673267327,0.389208650504114
"x18859_696_5408_8_846",447,"x18859_696_5408_8_846",1.01890577360018,0.0099009900990099,0.00185045592481467,0.0792079207920792,0.164082387876353
"x39138_959_80333_15_836",457,"x39138_959_80333_15_836",1.01522789689505,0.0297029702970297,0.00788763919086163,0.207920792079208,0.0733222508087764
"x26779_812_6432_12_43",478,"x26779_812_6432_12_43",1.00828583011544,0.0297029702970297,0.00192652458477232,0.306930693069307,0.175421663212157
"x25784_872_67845_12_135",481,"x25784_872_67845_12_135",1.00697184380412,0.0099009900990099,0.0162824008572645,0.0396039603960396,0.415894642309741
"x20183_810_60016_9_501",484,"x20183_810_60016_9_501",1.00680780779916,0.0099009900990099,7.51407283612338e-08,0.168316831683168,0.175913568985178
"x38872_964_83038_15_743",492,"x38872_964_83038_15_743",1.0049160129136,0.0396039603960396,0.00247661464841229,0.247524752475248,0.138177904080656
"x3091_445_29618_2_912",500,"x3091_445_29618_2_912",1.004281987208,0.0099009900990099,0.000101111927659294,0.188118811881188,0.443788404100398
"x19703_816_5522_9_262",512,"x19703_816_5522_9_262",1.00244232803378,0.0495049504950495,8.0318633454326e-05,0.504950495049505,0.924509223690571
"x10882_636_51997_5_602",524,"x10882_636_51997_5_602",1.00155021293976,0.0198019801980198,2.14717745306512e-05,0.356435643564356,0.220125333199687
"x26763_693_54557_12_433",526,"x26763_693_54557_12_433",1.00152473789766,0.0198019801980198,1.99954626821501e-05,0.287128712871287,0.507121575640778
"x38252_810_75471_15_538",537,"x38252_810_75471_15_538",1.0012581864974,0.0198019801980198,3.64744343216978e-05,0.415841584158416,0.930424462609827
"x40580_973_85676_16_462",549,"x40580_973_85676_16_462",1.00109750757357,0.0297029702970297,0.000501137691023866,0.356435643564356,0.55654812113543
"x32106_841_69607_13_669",561,"x32106_841_69607_13_669",1.0010338792329,0.0297029702970297,0.000958219286563462,0.168316831683168,2.26398799186695
"x22829_810_60266_10_934",562,"x22829_810_60266_10_934",1.00103139370092,0.0297029702970297,8.34182303598299e-05,0.435643564356436,0.575317609515364
